,0,1,2
91,3.0,0.0,699.9
92,3.0,0.0,428.8
93,0.0,0.0,170.7
94,1.0,0.0,208.1
95,0.0,0.0,196.9
96,0.0,0.0,26.6
97,0.0,0.0,22.7
98,1.0,0.0,206.3
99,0.0,0.0,89.3
100,1.0,0.0,224.5
101,3.0,0.0,472.7
102,2.0,0.0,264.3
103,2.0,0.0,337.4
104,3.0,0.0,626.6
105,1.0,0.0,208.2
106,2.0,0.0,267.3
107,0.0,0.0,153.5
108,0.0,0.0,0.0
109,0.0,0.0,8.4
110,0.0,0.0,0.0
111,0.0,0.0,122.5
112,2.0,0.0,327.3
113,3.0,0.0,649.0
114,1.0,0.0,253.0
115,0.0,0.0,187.1
116,3.0,0.0,464.5
117,2.0,0.0,333.8
118,0.0,0.0,94.5
119,1.0,0.0,247.1
120,3.0,0.0,583.7
121,0.0,0.0,0.8
122,0.0,0.0,0.0
123,0.0,0.0,21.9
124,0.0,0.0,140.7
125,3.0,0.0,549.8
126,3.0,0.0,468.9
127,3.0,0.0,370.3
128,3.0,0.0,386.2
129,2.0,0.0,318.7
130,0.0,0.0,117.2
131,0.0,0.0,2.3
132,0.0,0.0,84.8
133,0.0,0.0,0.5
134,0.0,0.0,1.3
135,0.0,0.0,2.5
136,0.0,0.0,190.7
137,3.0,0.0,530.0
138,2.0,0.0,280.8
139,1.0,0.0,205.8
140,3.0,0.0,580.1
141,2.0,0.0,288.8
142,0.0,0.0,133.0
143,0.0,0.0,67.5
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,37.7
148,2.0,0.0,298.8
149,3.0,0.0,383.3
150,3.0,0.0,792.8
151,3.0,0.0,520.5
152,2.0,0.0,310.8
153,0.0,0.0,139.8
154,0.0,0.0,184.4
155,2.0,0.0,289.7
156,0.0,0.0,45.0
157,0.0,0.0,56.7
158,0.0,0.0,33.3
159,0.0,0.0,40.9
160,0.0,0.0,170.2
161,2.0,0.0,334.7
162,2.0,0.0,269.0
163,2.0,0.0,317.2
164,3.0,0.0,429.8
165,3.0,0.0,468.1
166,2.0,0.0,258.4
167,2.0,0.0,318.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.5
172,3.0,0.0,487.4
173,3.0,0.0,450.1
174,2.0,0.0,317.3
175,3.0,0.0,425.0
176,3.0,0.0,561.2
177,3.0,0.0,369.7
178,0.0,0.0,192.6
179,0.0,0.0,133.7
180,0.0,0.0,8.0
181,0.0,0.0,3.6
182,0.0,0.0,112.0
183,0.0,0.0,4.5
184,2.0,0.0,295.9
185,2.0,0.0,301.1
186,3.0,0.0,394.8
187,3.0,0.0,437.4
188,3.0,0.0,471.8
189,1.0,0.0,238.1
190,0.0,0.0,108.3
191,1.0,0.0,236.9
192,0.0,0.0,77.4
193,0.0,0.0,6.9
194,0.0,0.0,11.4
195,0.0,0.0,10.7
196,3.0,0.0,729.3
197,3.0,0.0,710.8
198,1.0,0.0,200.9
199,3.0,0.0,455.4
200,2.0,0.0,303.3
201,1.0,0.0,227.0
202,3.0,0.0,366.9
203,0.0,0.0,175.0
204,0.0,0.0,10.2
205,0.0,0.0,18.0
206,0.0,0.0,0.0
207,0.0,0.0,35.5
208,2.0,0.0,283.9
209,3.0,0.0,542.5
210,1.0,0.0,246.5
211,2.0,0.0,259.8
212,0.0,0.0,170.7
213,0.0,0.0,186.2
214,2.0,0.0,340.4
215,2.0,0.0,258.4
216,0.0,0.0,122.3
217,0.0,0.0,7.4
218,0.0,0.0,3.1
219,0.0,0.0,13.0
220,1.0,0.0,237.4
221,3.0,0.0,546.9
222,2.0,0.0,294.4
223,3.0,0.0,467.4
224,3.0,0.0,505.4
